antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.06174149479408449,0.06976589959546389,0.030771271304463162,0.49838882921589694,7.143731136641169,1.0,0.02646382037778521,1.8544923928835613,0.9166099997075255,0.3054641211323239,0.46076888541716043,0.4697267339995834
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.06976589959546389,0.06174149479408449,0.030771271304463162,0.44106463878326996,7.143731136641168,1.0,0.02646382037778521,1.6786529718990189,0.9245168800072766,0.3054641211323239,0.4042842584261329,0.4697267339995834
frozenset({'LUNCH BAG APPLE DESIGN'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.05743086411565754,0.05961933815239737,0.02387426221898004,0.41570438799076215,6.972643455520248,1.0,0.02045027211088427,1.6094261920158575,0.908774048797267,0.25622775800711745,0.3786605406567491,0.40807466340583715
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.05961933815239737,0.05743086411565754,0.02387426221898004,0.40044493882091214,6.972643455520247,1.0,0.02045027211088427,1.5721143843414171,0.910888967246513,0.25622775800711745,0.36391396837265416,0.40807466340583715
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG WOODLAND'}),0.06406260362092978,0.05438026394323231,0.02400689700908548,0.3747412008281573,6.891125082058274,1.0,0.02052315571528865,1.5123653394550292,0.9134006380230913,0.2542134831460674,0.3387841059883431,0.4081023077311518
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG CARS BLUE'}),0.05438026394323231,0.06406260362092978,0.02400689700908548,0.4414634146341463,6.891125082058273,1.0,0.02052315571528865,1.6756957751765011,0.9040481944329818,0.2542134831460674,0.4032329645906818,0.4081023077311518
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.05961933815239737,0.06406260362092978,0.02586378407056171,0.4338153503893215,6.771740857681758,1.0,0.0220444140423625,1.6530603523473166,0.9063643267874579,0.264406779661017,0.39506140923408056,0.4187710292319278
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.06406260362092978,0.05961933815239737,0.02586378407056171,0.40372670807453415,6.771740857681758,1.0,0.0220444140423625,1.5770967349735836,0.9106671971831752,0.264406779661017,0.36592348597009167,0.4187710292319278
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.06174149479408449,0.08541680482790635,0.03468399761257378,0.5617615467239527,6.576709909200686,1.0,0.029410236401964267,2.086953320355929,0.9037469774592657,0.308372641509434,0.5208325982923996,0.48390872367253535
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.08541680482790635,0.06174149479408449,0.03468399761257378,0.406055900621118,6.576709909200686,1.0,0.029410236401964267,1.579708437523162,0.9271417763101799,0.308372641509434,0.36697179286583537,0.48390872367253535
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05961933815239737,0.06976589959546389,0.027123814576563432,0.45494994438264735,6.521093356792718,1.0,0.022964417817075266,1.7066948087013836,0.900328469796297,0.26523994811932555,0.41407216164154415,0.4218666071723123
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.06976589959546389,0.05961933815239737,0.027123814576563432,0.38878326996197715,6.521093356792718,1.0,0.022964417817075266,1.53853881222967,0.9101488345128318,0.26523994811932555,0.3500326465272675,0.4218666071723123
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.05961933815239737,0.06174149479408449,0.023741627428874593,0.3982202447163515,6.44979921598052,1.0,0.02006064037271159,1.5591393644734157,0.8985259354981051,0.2432065217391304,0.3586205166863065,0.39137650259448076
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.06174149479408449,0.05961933815239737,0.023741627428874593,0.3845327604726101,6.44979921598052,1.0,0.02006064037271159,1.5279134313789144,0.9005582248630992,0.2432065217391304,0.3455126583333207,0.39137650259448076
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.06552158631208967,0.05961933815239737,0.02506797532992904,0.3825910931174089,6.417231471765749,1.0,0.021161621719307078,1.5231083506646417,0.903359080564389,0.2504970178926441,0.34344789091095973,0.4015291394396833
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05961933815239737,0.06552158631208967,0.02506797532992904,0.42046718576195774,6.417231471765749,1.0,0.021161621719307078,1.6124685103751082,0.897689196349281,0.2504970178926441,0.3798328503374183,0.4015291394396833
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.05438026394323231,0.06174149479408449,0.0210889316267657,0.3878048780487805,6.281106075292762,1.0,0.01773141284361368,1.5326134945594636,0.8891442721159006,0.22191207257501744,0.3475197735437915,0.36468654213932045
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG WOODLAND'}),0.06174149479408449,0.05438026394323231,0.0210889316267657,0.3415682062298604,6.281106075292762,1.0,0.01773141284361368,1.4361696154467387,0.8961201707732985,0.22191207257501744,0.30370341410618307,0.36468654213932045
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG WOODLAND'}),0.05961933815239737,0.05438026394323231,0.020359440281185755,0.3414905450500556,6.279677961963157,1.0,0.017117324936337566,1.4360002410726929,0.8940593945686681,0.21742209631728046,0.3036212868230443,0.3579403944762473
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.05438026394323231,0.05961933815239737,0.020359440281185755,0.374390243902439,6.279677961963157,1.0,0.017117324936337566,1.5031425783918795,0.8891059832375141,0.21742209631728046,0.3347271147958306,0.3579403944762473
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG CARS BLUE'}),0.06976589959546389,0.06406260362092978,0.0279196233171961,0.40019011406844107,6.24685996898346,1.0,0.02345023814515431,1.5603900808094802,0.9029120459405825,0.2636192861615529,0.3591346085196644,0.4180039597257319
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.06406260362092978,0.06976589959546389,0.0279196233171961,0.4358178053830227,6.246859968983459,1.0,0.02345023814515431,1.6488186073225355,0.8974099956358357,0.2636192861615529,0.3935051463157197,0.4180039597257319
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.05438026394323231,0.08541680482790635,0.02871543205782877,0.5280487804878049,6.182024503863052,1.0,0.024070443666099662,1.9378765375739453,0.8864458523582286,0.25850746268656716,0.48397125378693423,0.43211445235570367
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG WOODLAND'}),0.08541680482790635,0.05438026394323231,0.02871543205782877,0.3361801242236025,6.182024503863051,1.0,0.024070443666099662,1.4245125380597856,0.9165275475872657,0.25850746268656716,0.2980054767632865,0.43211445235570367
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.06406260362092978,0.06552158631208967,0.02593010146561443,0.4047619047619047,6.17753518411413,1.0,0.02173261805308849,1.569923734995689,0.8954905989888338,0.2501599488163787,0.3630263829327061,0.40025544630807786
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.06552158631208967,0.06406260362092978,0.02593010146561443,0.39574898785425094,6.17753518411413,1.0,0.02173261805308849,1.548921520305731,0.896888710774921,0.2501599488163787,0.3543894981828279,0.40025544630807786
frozenset({'JAM MAKING SET PRINTED'}),frozenset({'JAM MAKING SET WITH JARS'}),0.05756349890576298,0.058226672856290206,0.020425757676238478,0.3548387096774194,6.094092144904108,1.0,0.017074026656989198,1.4597486570727503,0.8869633638474677,0.21418636995827536,0.31495056004688454,0.35281798809611287
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'JAM MAKING SET PRINTED'}),0.058226672856290206,0.05756349890576298,0.020425757676238478,0.35079726651480636,6.094092144904107,1.0,0.017074026656989198,1.4516828911591932,0.8875879419503109,0.21418636995827536,0.3111443235364693,0.35281798809611287
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05438026394323231,0.06976589959546389,0.023012136083294648,0.42317073170731706,6.065581238987295,1.0,0.019218248049056277,1.61266799647298,0.8831619162415849,0.2275409836065574,0.37990956465492504,0.3765093202262821
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG WOODLAND'}),0.06976589959546389,0.05438026394323231,0.023012136083294648,0.3298479087452471,6.065581238987294,1.0,0.019218248049056277,1.4110524288393185,0.8977690000491025,0.2275409836065574,0.2913091111557319,0.3765093202262821
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.06976589959546389,0.06552158631208967,0.027720671132037935,0.3973384030418251,6.064236618894413,1.0,0.023149498720053167,1.5505856328070688,0.8977297031050506,0.2577065351418002,0.35508237736623954,0.41020766305937406
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.06552158631208967,0.06976589959546389,0.027720671132037935,0.4230769230769231,6.064236618894413,1.0,0.023149498720053167,1.6124057740345294,0.8936522990174258,0.2577065351418002,0.3798087205444445,0.41020766305937406
frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.03965780224152795,0.08541680482790635,0.0204920750712912,0.516722408026756,6.049423284654855,1.0,0.017104632317322902,1.8924593450273774,0.8691641251151773,0.19594166138237162,0.4715870633482309,0.3783146201624463
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),0.08541680482790635,0.03965780224152795,0.0204920750712912,0.23990683229813667,6.049423284654854,1.0,0.017104632317322902,1.2634532693696754,0.9126506921755407,0.19594166138237162,0.20851841200356347,0.3783146201624463
